code,name,discipline,event,color
CRO,JOKOVIC Maro,Water Polo,Men,Silver
CRO,BUKIC Luka,Water Polo,Men,Silver
CRO,VUKICEVIC Ante,Water Polo,Men,Silver
CRO,ZUVELA Marko,Water Polo,Men,Silver
CRO,MARINIC KRAGIC Jerko,Water Polo,Men,Silver
CRO,VRLIC Josi,Water Polo,Men,Silver
CRO,BILJAKA Matias,Water Polo,Men,Silver
CRO,KHARKOV Konstantin,Water Polo,Men,Silver
CRO,POPADIC Toni,Water Polo,Men,Silver
USA,WEINBERG Adrian,Water Polo,Men,Bronze
USA,HOOPER Johnny,Water Polo,Men,Bronze
USA,VAVIC Marko,Water Polo,Men,Bronze
USA,OBERT Alex,Water Polo,Men,Bronze
USA,DAUBE Hannes,Water Polo,Men,Bronze
USA,CUPIDO Luca,Water Polo,Men,Bronze
USA,HALLOCK Ben,Water Polo,Men,Bronze
USA,WOODHEAD Dylan,Water Polo,Men,Bronze
USA,BOWEN Alex,Water Polo,Men,Bronze
USA,DODD Chase William,Water Polo,Men,Bronze
USA,DODD Ryder,Water Polo,Men,Bronze
USA,IRVING Max,Water Polo,Men,Bronze
USA,HOLLAND Drew,Water Polo,Men,Bronze
CHN,DING Xinyi,Rhythmic Gymnastics,Group All-Around,Gold
CHN,GUO Qiqi,Rhythmic Gymnastics,Group All-Around,Gold
CHN,HAO Ting,Rhythmic Gymnastics,Group All-Around,Gold
CHN,HUANG Zhangjiayang,Rhythmic Gymnastics,Group All-Around,Gold
CHN,WANG Lanjing,Rhythmic Gymnastics,Group All-Around,Gold
ISR,BAKANOV Shani,Rhythmic Gymnastics,Group All-Around,Silver
ISR,FRIEDMANN Adar,Rhythmic Gymnastics,Group All-Around,Silver
ISR,PARITZKI Romi,Rhythmic Gymnastics,Group All-Around,Silver
ISR,SHAHAM Ofir,Rhythmic Gymnastics,Group All-Around,Silver
ISR,SVERTSOV Diana,Rhythmic Gymnastics,Group All-Around,Silver
ITA,CENTOFANTI Martina,Rhythmic Gymnastics,Group All-Around,Bronze
ITA,DURANTI Agnese,Rhythmic Gymnastics,Group All-Around,Bronze
ITA,MAURELLI Alessia,Rhythmic Gymnastics,Group All-Around,Bronze
ITA,MOGUREAN Daniela,Rhythmic Gymnastics,Group All-Around,Bronze
ITA,PARIS Laura,Rhythmic Gymnastics,Group All-Around,Bronze
